,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,Language,Q_RecaptchaScore,Q1,Q48,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q83,Q85,Q86,Q87,Q88,Q88_2_TEXT,Q88_3_TEXT,Q88_4_TEXT,Q4,Q6,Q5,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,SC0,SC1,SC2,SC3,SC4,SC5
Participant 166,11/1/2022 19:20:02,11/1/2022 19:24:45,IP Address,100,282,TRUE,11/1/2022 19:24:45,R_3s7FgkWsa4J4rw5,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,3- Often,4- Usually,1- Almost never,3- Often,1- Almost never,4- Usually,4- Usually,4- Usually,1- Almost never,4- Usually,1- Almost never,4- Usually,2- Sometimes,4- Usually,4- Usually,1- Almost never,4- Usually,Severe stress,Severe stress,Mild stress,Moderate stress,Severe stress,Moderate stress,Mild stress,E- describes me very well,D,D,A- does not describe me well,C,E- describes me very well,C,D,D,E- describes me very well,D,B,A- does not describe me well,B,B,C,E- describes me very well,B,A- does not describe me well,D,B,E- describes me very well,B,E- describes me very well,D,D,C,B,No,No,"Yes, 1-2 times per week",No,No,,,,Current first year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",Asian,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,76,81,17,23,15,26
Participant 167,11/2/2022 10:46:56,11/2/2022 10:54:07,IP Address,100,430,TRUE,11/2/2022 10:54:07,R_SBLDd7uJjOCo9vX,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,4- Usually,3- Often,1- Almost never,3- Often,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,4- Usually,2- Sometimes,4- Usually,2- Sometimes,3- Often,3- Often,3- Often,2- Sometimes,2- Sometimes,Mild stress,Moderate stress,Mild stress,None,Mild Stress,Moderate stress,None,D,C,B,B,A- does not describe me well,B,D,E- describes me very well,E- describes me very well,C,E- describes me very well,C,D,B,B,C,B,A- does not describe me well,D,C,D,C,C,A- does not describe me well,D,C,A- does not describe me well,D,"Yes, 3x per month or less","Yes, 1x per month or less","Yes, 3+ times per week","Yes, 3x per month or less","Yes, 3x per month or less",gone on walks,,,Current second year,30-34,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",Hispanic or Latino,No,Female,Straight or Heterosexual,Married,No,Yes,No,"Yes, 20-30 hours a week",43,61,12,20,23,6
Participant 168,11/2/2022 11:48:10,11/2/2022 11:59:10,IP Address,100,659,TRUE,11/2/2022 11:59:10,R_3qxG3fB7CDgoewd,anonymous,EN,1,"I consent, begin the study",3- Often,2- Sometimes,3- Often,3- Often,2- Sometimes,1- Almost never,2- Sometimes,2- Sometimes,4- Usually,2- Sometimes,4- Usually,3- Often,3- Often,2- Sometimes,3- Often,2- Sometimes,4- Usually,3- Often,1- Almost never,3- Often,Mild stress,Moderate stress,Severe stress,Mild stress,Moderate stress,Mild stress,Severe stress,C,E- describes me very well,B,A- does not describe me well,D,C,B,D,C,E- describes me very well,E- describes me very well,C,C,B,B,D,C,B,C,D,E- describes me very well,E- describes me very well,D,B,C,C,B,D,"Yes, 3+ times per week","Yes, 1+ times per week","Yes, 1-2 times per week","Yes, 3+ times per week",No,,,,Current second year,25-29,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Straight or Heterosexual,Divorced or separated,No,Yes,No,"Yes, less than 10 hours a week",58,77,16,23,22,14
Participant 169,11/2/2022 13:47:28,11/2/2022 13:55:55,IP Address,100,506,TRUE,11/2/2022 13:55:55,R_3DhFEgsPSP57qDl,anonymous,EN,1,"I consent, begin the study",4- Usually,3- Often,4- Usually,2- Sometimes,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,4- Usually,4- Usually,4- Usually,4- Usually,4- Usually,2- Sometimes,1- Almost never,3- Often,4- Usually,1- Almost never,1- Almost never,3- Often,Mild stress,Moderate stress,None,None,Moderate stress,None,None,E- describes me very well,D,B,D,E- describes me very well,A- does not describe me well,A- does not describe me well,D,D,D,C,A- does not describe me well,B,A- does not describe me well,C,C,B,A- does not describe me well,D,D,D,D,D,B,C,C,A- does not describe me well,C,"Yes, 3x per month or less",No,"Yes, 3x per month or less",No,"Yes, 3x per month or less",Crafting,,,Current second year,20-24,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces","Native American or Alaska Native,White",No,Female,Bisexual,Single (never married),No,Yes,No,"Yes, 10-20 hours a week",54,70,23,21,17,9
Participant 170,11/2/2022 22:49:41,11/2/2022 22:54:47,IP Address,100,305,TRUE,11/2/2022 22:54:47,R_UYXWdVAKJoINE1H,anonymous,EN,1,"I consent, begin the study",2- Sometimes,4- Usually,4- Usually,2- Sometimes,3- Often,3- Often,3- Often,1- Almost never,3- Often,4- Usually,4- Usually,2- Sometimes,3- Often,3- Often,2- Sometimes,3- Often,4- Usually,4- Usually,1- Almost never,4- Usually,Moderate stress,Severe stress,Mild stress,Moderate stress,Severe stress,Severe stress,Mild stress,D,E- describes me very well,A- does not describe me well,B,E- describes me very well,B,A- does not describe me well,D,E- describes me very well,B,D,A- does not describe me well,B,B,A- does not describe me well,D,D,A- does not describe me well,D,E- describes me very well,D,E- describes me very well,D,B,D,E- describes me very well,B,D,"Yes, 3x per month or less",No,"Yes, 3x per month or less",No,"Yes, 3x per month or less","Video games, reading",,,Current first year,25-29,"NSGC region 6: AK,CA,HI,ID,NV,OR,WA, British Columbia, Yukon",White,Yes,Non-binary,Pansexual,Married,No,Yes,Yes,"Yes, 10-20 hours a week",65,85,23,26,23,11
Participant 171,11/3/2022 8:04:01,11/3/2022 8:12:12,IP Address,100,491,TRUE,11/3/2022 8:12:13,R_dmzrX7fKRJRh6cp,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,3- Often,3- Often,4- Usually,2- Sometimes,3- Often,1- Almost never,3- Often,3- Often,2- Sometimes,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,4- Usually,3- Often,2- Sometimes,4- Usually,Moderate stress,Moderate stress,None,Mild stress,Severe stress,None,None,D,D,B,B,E- describes me very well,B,B,E- describes me very well,E- describes me very well,C,D,A- does not describe me well,E- describes me very well,B,C,E- describes me very well,D,B,E- describes me very well,C,D,C,E- describes me very well,A- does not describe me well,B,E- describes me very well,A- does not describe me well,D,"Yes, 3x per month or less",No,"Yes, 3x per month or less",No,"Yes, 3x per month or less",Watching a movie,,,Current first year,20-24,"NSGC region 3:3 Al,FL,GA,KY,LA,MS,NC,SC,TN",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",64,71,22,20,19,6
Participant 172,11/3/2022 8:22:47,11/3/2022 8:29:11,IP Address,100,384,TRUE,11/3/2022 8:29:11,R_UW6XYN00ydzKtTr,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,3- Often,2- Sometimes,2- Sometimes,3- Often,3- Often,1- Almost never,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,3- Often,3- Often,4- Usually,1- Almost never,3- Often,2- Sometimes,2- Sometimes,4- Usually,Mild stress,Moderate stress,Mild stress,Mild stress,Moderate stress,Mild stress,None,E- describes me very well,C,B,C,E- describes me very well,D,B,D,D,E- describes me very well,E- describes me very well,A- does not describe me well,B,B,E- describes me very well,E- describes me very well,D,A- does not describe me well,C,E- describes me very well,D,D,E- describes me very well,D,C,E- describes me very well,A- does not describe me well,C,No,No,"Yes, 3+ times per week","Yes, 3x per month or less","Yes, 1-2 times per week",,"tv, reading",,Current second year,25-29,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",Asian,No,Female,Bisexual,Single (never married),No,Yes,No,No,58,83,23,21,17,18
Participant 173,11/3/2022 8:32:25,11/3/2022 8:37:32,IP Address,100,307,TRUE,11/3/2022 8:37:33,R_2uILi2lgdK9YuaM,anonymous,EN,0.899999976,"I consent, begin the study",2- Sometimes,4- Usually,4- Usually,3- Often,3- Often,1- Almost never,1- Almost never,1- Almost never,2- Sometimes,3- Often,3- Often,3- Often,3- Often,2- Sometimes,1- Almost never,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,3- Often,Moderate stress,Mild stress,Mild stress,None,Mild Stress,None,None,B,D,A- does not describe me well,B,B,B,E- describes me very well,E- describes me very well,C,B,E- describes me very well,E- describes me very well,B,C,B,A- does not describe me well,C,B,D,C,E- describes me very well,C,A- does not describe me well,B,E- describes me very well,B,B,E- describes me very well,"Yes, 3+ times per week",No,"Yes, 3x per month or less",No,No,,,,Current second year,25-29,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Asexual,Married,No,No,No,No,57,57,7,17,24,10
Participant 174,11/3/2022 8:32:51,11/3/2022 8:39:36,IP Address,100,405,TRUE,11/3/2022 8:39:36,R_DN2rG1kssQ1pfPz,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,4- Usually,3- Often,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,3- Often,3- Often,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,3- Often,Moderate stress,Mild stress,Moderate stress,Moderate stress,Mild Stress,None,Mild stress,D,D,B,A- does not describe me well,D,B,B,D,D,C,D,B,B,B,C,C,B,B,D,E- describes me very well,D,E- describes me very well,C,B,C,D,B,D,"Yes, 3+ times per week","Yes, every other week","Yes, 1-2 times per week",No,No,,,,Current second year,25-29,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, 10-20 hours a week",55,72,19,24,19,10
Participant 175,11/3/2022 9:01:58,11/3/2022 9:07:27,IP Address,100,328,TRUE,11/3/2022 9:07:27,R_3HUGl6YBHo0ZYRS,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,4- Usually,2- Sometimes,4- Usually,2- Sometimes,3- Often,2- Sometimes,3- Often,3- Often,4- Usually,3- Often,4- Usually,2- Sometimes,4- Usually,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,3- Often,Moderate stress,Moderate stress,Mild stress,Mild stress,Severe stress,Mild stress,None,D,E- describes me very well,B,B,D,D,C,D,D,C,E- describes me very well,C,B,C,B,C,D,B,C,D,E- describes me very well,D,C,D,D,C,C,D,"Yes, 3+ times per week",No,"Yes, 3+ times per week",No,"Yes, 1-2 times per week",,Cooking,,Current second year,25-29,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",Prefer not to say,No,Male,Queer,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",64,78,16,21,23,18
Participant 176,11/3/2022 9:18:47,11/3/2022 9:24:01,IP Address,100,314,TRUE,11/3/2022 9:24:02,R_2Ea5cRRr52AsBFY,anonymous,EN,1,"I consent, begin the study",3- Often,3- Often,4- Usually,2- Sometimes,1- Almost never,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,3- Often,3- Often,3- Often,1- Almost never,4- Usually,4- Usually,2- Sometimes,1- Almost never,4- Usually,Moderate stress,Moderate stress,Mild stress,Moderate stress,Mild Stress,None,None,D,C,B,B,C,B,B,E- describes me very well,E- describes me very well,B,D,C,E- describes me very well,A- does not describe me well,A- does not describe me well,D,D,A- does not describe me well,E- describes me very well,D,E- describes me very well,C,C,A- does not describe me well,D,C,B,E- describes me very well,"Yes, 1-2 times per week",No,"Yes, 3+ times per week",No,"Yes, 1-2 times per week",,shopping/ crafts,,Current first year,25-29,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,No,No,"Yes, 10-20 hours a week",52,70,15,22,22,6
Participant 177,11/3/2022 9:38:37,11/3/2022 9:53:58,IP Address,100,921,TRUE,11/3/2022 9:53:58,R_YX16f64rcoQca41,anonymous,EN,1,"I consent, begin the study",3- Often,2- Sometimes,4- Usually,2- Sometimes,4- Usually,2- Sometimes,3- Often,2- Sometimes,3- Often,4- Usually,3- Often,4- Usually,4- Usually,3- Often,3- Often,2- Sometimes,3- Often,3- Often,2- Sometimes,2- Sometimes,None,Mild stress,Mild stress,None,Moderate stress,Mild stress,None,E- describes me very well,D,A- does not describe me well,A- does not describe me well,A- does not describe me well,B,D,C,D,D,D,E- describes me very well,B,B,B,C,A- does not describe me well,A- does not describe me well,D,C,D,E- describes me very well,B,A- does not describe me well,D,E- describes me very well,A- does not describe me well,D,"Yes, 3+ times per week",No,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",,caring for houseplants,,Current second year,25-29,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",Asian,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, less than 10 hours a week",58,64,12,23,21,8
Participant 178,11/3/2022 9:51:50,11/3/2022 9:56:20,IP Address,100,269,TRUE,11/3/2022 9:56:21,R_OO2IdrH3GAz6LCh,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,4- Usually,3- Often,4- Usually,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,4- Usually,3- Often,2- Sometimes,4- Usually,2- Sometimes,4- Usually,2- Sometimes,3- Often,4- Usually,2- Sometimes,3- Often,Mild stress,Moderate stress,Mild stress,Mild stress,Moderate stress,Severe stress,Moderate stress,D,D,A- does not describe me well,B,D,E- describes me very well,C,E- describes me very well,C,C,D,B,C,C,A- does not describe me well,D,D,B,B,E- describes me very well,D,D,D,C,D,D,C,D,"Yes, 3x per month or less",No,"Yes, 1-2 times per week","Yes, 3x per month or less","Yes, 3x per month or less",reading,,,Current first year,25-29,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",Asian,No,Female,Straight or Heterosexual,Single (never married),No,No,Yes,"Yes, less than 10 hours a week",63,82,18,20,24,18
Participant 179,11/3/2022 10:46:22,11/3/2022 10:51:24,IP Address,100,302,TRUE,11/3/2022 10:51:25,R_W8zBdEcJUGMtV5f,anonymous,EN,1,"I consent, begin the study",3- Often,3- Often,3- Often,3- Often,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,3- Often,2- Sometimes,3- Often,1- Almost never,4- Usually,2- Sometimes,2- Sometimes,3- Often,3- Often,Mild stress,Mild stress,Mild stress,Mild stress,Moderate stress,Mild stress,None,D,D,A- does not describe me well,A- does not describe me well,C,B,C,D,D,C,D,B,C,B,C,C,B,B,D,D,D,D,C,B,D,D,B,C,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",No,"Yes, 3+ times per week",,,"watching TV/movies, baking/cooking, knitting",Current second year,25-29,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Non-binary,Queer,Single (never married),No,Yes,No,"Yes, 10-20 hours a week",43,68,17,22,20,9
Participant 180,11/1/2022 16:47:04,11/3/2022 11:03:25,IP Address,100,152181,TRUE,11/3/2022 11:03:26,R_1FJLgggQmulnudR,anonymous,EN,0.899999976,"I consent, begin the study",1- Almost never,4- Usually,3- Often,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,1- Almost never,4- Usually,4- Usually,3- Often,3- Often,4- Usually,3- Often,4- Usually,3- Often,4- Usually,4- Usually,2- Sometimes,4- Usually,Moderate stress,Moderate stress,Mild stress,Mild stress,Severe stress,Mild stress,Mild stress,C,E- describes me very well,A- does not describe me well,A- does not describe me well,E- describes me very well,A- does not describe me well,A- does not describe me well,C,E- describes me very well,E- describes me very well,E- describes me very well,B,E- describes me very well,B,A- does not describe me well,A- does not describe me well,D,A- does not describe me well,E- describes me very well,E- describes me very well,C,E- describes me very well,C,A- does not describe me well,D,D,A- does not describe me well,D,"Yes, 1-2 times per week",No,"Yes, 3+ times per week",No,"Yes, 1-2 times per week",,"reading, rock climbing, hiking, rock-collecting at the beach",,Current second year,25-29,"NSGC region 6: AK,CA,HI,ID,NV,OR,WA, British Columbia, Yukon",White,Prefer not to say,Non-binary,"Gay, lesbian, or homosexual",In a romantic relationship,No,Yes,No,"Yes, less than 10 hours a week",66,74,22,27,22,7
Participant 181,11/3/2022 11:24:42,11/3/2022 11:41:49,IP Address,100,1026,TRUE,11/3/2022 11:41:49,R_2vcaY9eHGoz3EQS,anonymous,EN,1,"I consent, begin the study",1- Almost never,3- Often,4- Usually,3- Often,3- Often,2- Sometimes,2- Sometimes,1- Almost never,3- Often,3- Often,3- Often,4- Usually,4- Usually,2- Sometimes,3- Often,2- Sometimes,3- Often,4- Usually,1- Almost never,4- Usually,Severe stress,Mild stress,None,Mild stress,Severe stress,Mild stress,None,B,E- describes me very well,A- does not describe me well,A- does not describe me well,D,B,A- does not describe me well,C,E- describes me very well,B,E- describes me very well,B,A- does not describe me well,A- does not describe me well,B,D,A- does not describe me well,E- describes me very well,E- describes me very well,E- describes me very well,C,E- describes me very well,E- describes me very well,A- does not describe me well,D,E- describes me very well,C,C,"Yes, 3x per month or less","Yes, every other week","Yes, 1-2 times per week",No,"Yes, 3x per month or less","Pottery, reading",,,Current first year,25-29,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,Yes,Non-binary,Queer,In a romantic relationship,No,No,No,"Yes, 10-20 hours a week",63,74,20,24,20,8
Participant 182,11/3/2022 12:01:25,11/3/2022 12:07:26,IP Address,100,360,TRUE,11/3/2022 12:07:27,R_3KW4ORdbIO8XnxH,anonymous,EN,0.899999976,"I consent, begin the study",2- Sometimes,3- Often,4- Usually,3- Often,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,3- Often,3- Often,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,3- Often,1- Almost never,3- Often,Mild stress,Moderate stress,Moderate stress,Mild stress,Mild Stress,None,Mild stress,E- describes me very well,E- describes me very well,B,B,D,C,C,D,D,B,D,B,D,B,B,B,B,B,D,C,D,D,D,B,C,C,B,C,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week","Yes, 3x per month or less","Yes, 1-2 times per week",,biking,,Current second year,20-24,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, 10-20 hours a week",59,66,20,21,19,8
Participant 183,11/3/2022 12:03:16,11/3/2022 12:08:44,IP Address,100,328,TRUE,11/3/2022 12:08:45,R_32YdTD1XIJN5Irg,anonymous,EN,1,"I consent, begin the study",1- Almost never,3- Often,4- Usually,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,3- Often,3- Often,4- Usually,3- Often,3- Often,2- Sometimes,3- Often,4- Usually,2- Sometimes,3- Often,Moderate stress,Mild stress,Moderate stress,Severe stress,Mild Stress,None,Moderate stress,D,E- describes me very well,B,A- does not describe me well,C,C,D,D,E- describes me very well,D,E- describes me very well,D,C,A- does not describe me well,C,A- does not describe me well,B,B,D,E- describes me very well,D,D,B,B,D,D,C,E- describes me very well,"Yes, 3+ times per week","Yes, every other week","Yes, 3+ times per week",No,No,,,,Current second year,25-29,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,No,No,"Yes, 10-20 hours a week",56,71,15,26,19,12
Participant 184,11/3/2022 8:58:02,11/3/2022 12:17:50,IP Address,100,11987,TRUE,11/3/2022 12:17:50,R_xsmdLbeypum3UMV,anonymous,EN,1,"I consent, begin the study",3- Often,3- Often,4- Usually,1- Almost never,2- Sometimes,3- Often,3- Often,2- Sometimes,3- Often,4- Usually,3- Often,3- Often,3- Often,3- Often,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,4- Usually,Mild stress,None,Mild stress,None,Moderate stress,Moderate stress,Mild stress,D,D,B,B,E- describes me very well,B,A- does not describe me well,E- describes me very well,D,C,D,B,C,A- does not describe me well,B,D,C,A- does not describe me well,D,D,D,D,D,B,D,D,C,C,No,No,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",,"drawing, journalling, playing video or baird games ",,Current second year,20-24,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,Yes,Non-binary,Queer,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",55,78,21,23,21,11
